id,tokens,ner_tags,input_ids,token_type_ids,attention_mask,labels,true_labels,pred_labels,reward
0,"['@paulwalk' 'It' ""'s"" 'the' 'view' 'from' 'where' 'I' ""'m"" 'living' 'for'
 'two' 'weeks' '.' 'Empire' 'State' 'Building' '=' 'ESB' '.' 'Pretty'
 'bad' 'storm' 'here' 'last' 'evening' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 8 8 0 7 0 0 0 0 0 0 0 0],"[  101  1030  2703 17122  2009  1005  1055  1996  3193  2013  2073  1045
  1005  1049  2542  2005  2048  3134  1012  3400  2110  2311  1027  9686
  2497  1012  3492  2919  4040  2182  2197  3944  1012   102]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],"[-100    0 -100 -100    0    0 -100    0    0    0    0    0    0 -100
    0    0    0    0    0    7    8    8    0    7 -100    0    0    0
    0    0    0    0    0 -100]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-location', 'I-location', 'I-location', 'O', 'B-location', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",4.0
1,"['From' 'Green' 'Newsfeed' ':' 'AHFA' 'extends' 'deadline' 'for' 'Sage'
 'Award' 'to' 'Nov' '.' '5' 'http://tinyurl.com/24agj38']",[0 0 0 0 5 0 0 0 0 0 0 0 0 0 0],"[  101  2013  2665  2739  7959  2098  1024  6289  7011  8908 15117  2005
 10878  2400  2000 13292  1012  1019  8299  1024  1013  1013  4714  3126
  2140  1012  4012  1013  2484  8490  3501 22025   102]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],"[-100    0    0    0 -100 -100    0    5 -100    0    0    0    0    0
    0    0    0    0    0 -100 -100 -100 -100 -100 -100 -100 -100 -100
 -100 -100 -100 -100 -100]","['O', 'O', 'O', 'O', 'B-group', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",4.0
2,"['Pxleyes' 'Top' '50' 'Photography' 'Contest' 'Pictures' 'of' 'August'
 '2010' '...' 'http://bit.ly/bgCyZ0' '#photography']",[1 0 0 0 0 0 0 0 0 0 0 0],"[  101  1052 20959  2229  2327  2753  5855  5049  4620  1997  2257  2230
  1012  1012  1012  8299  1024  1013  1013  2978  1012  1048  2100  1013
  1038 18195  2100  2480  2692  1001  5855   102]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],"[-100    1 -100 -100    0    0    0    0    0    0    0    0    0 -100
 -100    0 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100 -100
 -100    0 -100 -100]","['B-corporation', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",4.0
3,['today' 'is' 'my' 'last' 'day' 'at' 'the' 'office' '.'],[0 0 0 0 0 0 0 0 0],[ 101 2651 2003 2026 2197 2154 2012 1996 2436 1012  102],[0 0 0 0 0 0 0 0 0 0 0],[1 1 1 1 1 1 1 1 1 1 1],[-100    0    0    0    0    0    0    0    0    0 -100],"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",10.0
4,"['4Dbling' ""'s"" 'place' 'til' 'monday' ',' 'party' 'party' 'party' '.'
 '&lt;' '3']",[9 0 0 0 0 0 0 0 0 0 0 0],"[  101  1018 18939  2989  1005  1055  2173 18681  6928  1010  2283  2283
  2283  1012  1004  8318  1025  1017   102]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],"[-100    9 -100 -100    0 -100    0    0    0    0    0    0    0    0
    0 -100 -100    0 -100]","['B-person', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",4.0
5,"['watching' 'the' 'VMA' 'pre-show' 'again' 'lol' 'it' 'was' ""n't"" 'even'
 'a' 'good' 'show' 'the' 'first' 'time' '...' 'so' 'bored' '!']",[0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],"[  101  3666  1996  1058  2863  3653  1011  2265  2153  8840  2140  2009
  2001  1050  1005  1056  2130  1037  2204  2265  1996  2034  2051  1012
  1012  1012  2061 11471   999   102]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],"[-100    0    0    3 -100    0 -100 -100    0    0 -100    0    0    0
 -100 -100    0    0    0    0    0    0    0    0 -100 -100    0    0
    0 -100]","['O', 'O', 'B-creative-work', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",4.0
6,['27' 'followers' '!' '30' 'followers' 'is' 'my' 'goal' 'for' 'today' '!'],[0 0 0 0 0 0 0 0 0 0 0],[ 101 2676 8771  999 2382 8771 2003 2026 3125 2005 2651  999  102],[0 0 0 0 0 0 0 0 0 0 0 0 0],[1 1 1 1 1 1 1 1 1 1 1 1 1],[-100    0    0    0    0    0    0    0    0    0    0    0 -100],"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",10.0
7,"['This' 'is' 'the' '2nd' 'hospital' 'ive' 'been' 'in' 'today' ',' 'but'
 'ive' 'just' 'seen' 'a' 'doctor' 'who' 'was' 'an' 'older' 'version' 'of'
 'justin' "":'"" ')']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],"[ 101 2023 2003 1996 3416 2902 4921 2063 2042 1999 2651 1010 2021 4921
 2063 2074 2464 1037 3460 2040 2001 2019 3080 2544 1997 6796 1024 1005
 1007  102]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],"[-100    0    0    0    0    0    0 -100    0    0    0    0    0    0
 -100    0    0    0    0    0    0    0    0    0    0    0    0 -100
    0 -100]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",10.0
8,['Friday' 'Night' 'Eats' 'http://twitpic.com/2pdvtr'],[0 0 0 0],"[  101  5958  2305 20323  8299  1024  1013  1013  1056  9148 25856  2594
  1012  4012  1013  1016 17299  2615 16344   102]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],"[-100    0    0    0    0 -100 -100 -100 -100 -100 -100 -100 -100 -100
 -100 -100 -100 -100 -100 -100]","['O', 'O', 'O', 'O']","['O', 'O', 'O', 'O']",10.0
9,"['Gotta' 'dress' 'up' 'for' 'london' 'fashion' 'week' 'and' 'party' 'in'
 'style' '!']",[0 0 0 0 0 0 0 0 0 0 0 0],"[  101 10657  4377  2039  2005  2414  4827  2733  1998  2283  1999  2806
   999   102]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 1 1 1 1 1 1 1 1 1 1 1 1 1],[-100    0    0    0    0    0    0    0    0    0    0    0    0 -100],"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",10.0
